unit_id,analytics_channels_in_template,analytics_template_rect_area,analytics_template_density,analytics_axon_length,analytics_num_branches,analytics_branch_lengths,analytics_branch_channel_density,analytics_branch_orders,analytics_maximum_branch_order,analytics_velocities
22,13825,7871850.0,0.0017562580587790672,519.4532138724078,4,"[519.4532138724078, 209.1518231313674, 293.4370063735664, 318.2830127376137]","[57.717023763600864, 29.87883187590963, 48.906167728927734, 31.828301273761372]","{0: 3, 1: 1, 2: 1, 3: 1}",3,"{0: 264.14885612339896, 1: 33.36349795757093, 2: 30.362830075741066, 3: 655.832851529331}"
592,13825,7871850.0,0.0017562580587790672,303.17971810589324,1,[303.17971810589324],[50.52995301764887],{0: 1},1,{0: 37.75466987723841}
414,8697,7871850.0,0.0011048228815335659,256.76999508665887,4,"[256.76999508665887, 307.1652718152141, 488.7412861742685, 268.6456097700549]","[51.35399901733177, 51.19421196920235, 97.7482572348537, 53.72912195401098]","{0: 2, 1: 1, 2: 1, 3: 1}",2,"{0: 34.70467661371067, 1: 154.91042412231238, 2: 75.15266410786178, 3: 43.50892048155767}"
505,7230,7871850.0,0.0009184626231444958,412.03089544274735,3,"[412.03089544274735, 539.4119821245298, 343.8322831021216]","[68.67181590712455, 89.90199702075496, 68.76645662042432]","{0: 1, 1: 2, 2: 1}",2,"{0: 31.859449949527484, 1: 57.98611469909387, 2: 51.4908693949621}"
620,13825,7871850.0,0.0017562580587790672,394.99822047711757,4,"[394.99822047711757, 268.16959817135734, 305.92158510756826, 826.8263924045733]","[65.83303674618627, 53.633919634271464, 50.98693085126138, 63.60203018496718]","{0: 1, 1: 1, 2: 1, 3: 1}",1,"{0: 51.980325619247395, 1: 46.09585035890487, 2: 53.53175686079656, 3: 138.96324737756782}"
465,6123,7871850.0,0.00077783494350121,353.97673939678907,3,"[353.97673939678907, 708.5781872755502, 270.992424049175]","[70.79534787935782, 118.09636454592504, 54.198484809834994]","{0: 1, 1: 1, 2: 1}",1,"{0: 221.15042194094852, 1: 512.683572866382, 2: 126.05832585599737}"
599,13825,7871850.0,0.0017562580587790672,406.00101528625515,7,"[406.00101528625515, 190.85700121617077, 419.4594636617044, 594.0247584249853, 550.6266403231617, 268.8493644907756, 524.1546218697032]","[40.600101528625515, 31.80950020269513, 52.43243295771305, 59.40247584249853, 68.82833004039522, 53.76987289815512, 40.319586297669474]","{0: 1, 1: 2, 2: 1, 3: 1, 4: 2, 5: 0, 6: 1}",2,"{0: 389.5670966595644, 1: 204.22603894812295, 2: 51.20406347461951, 3: 303.76667828923297, 4: 454.27400930087146, 5: 72.0721729535154, 6: 397.04795476289894}"
576,13825,7871850.0,0.0017562580587790672,106.12866428930465,2,"[106.12866428930465, 193.94834428021886]","[21.22573285786093, 38.789668856043775]","{0: 1, 1: 1}",1,"{0: 204.87893722421921, 1: 30.343872618299084}"
259,1740,7871850.0,0.00022104079727128947,855.7476535053092,4,"[855.7476535053092, 1102.1711339702283, 509.4160598860276, 669.0520587052367]","[122.24966478647275, 157.45301913860405, 72.77372284086108, 111.50867645087278]","{0: 3, 1: 1, 2: 1, 3: 1}",3,"{0: 138.4819255522914, 1: 467.2738720943076, 2: 153.0445006885323, 3: 114.12000973783547}"
618,13825,7871850.0,0.0017562580587790672,491.5392849499419,2,"[491.5392849499419, 444.5431379674144]","[30.721205309371367, 40.41301254249222]","{0: 1, 1: 2}",2,"{0: 690.1105836477304, 1: 494.64985309634494}"
536,13825,7871850.0,0.0017562580587790672,418.9771145793314,3,"[418.9771145793314, 641.6499467166288, 217.59462200367813]","[38.08882859812103, 71.29443852406988, 36.26577033394636]","{0: 2, 1: 1, 2: 1}",2,"{0: 575.5912952253589, 1: 100.85918011343907, 2: 33.863098531570905}"
